groupByColumn,totalInspections,totalCriticalDeficiencies,mean,diffCountyInspections,diffCountyTotalCritDef,diffCountyMean,variance,diffCountyVariance,meanDiff,standardErrDiff,dF,t-Stat,pValue,criticalValue,marginOfError,lowerLimit,upperLimit,verdict,statSignificance
Albany,439,38,0.086560364,24741,4339,0.175376905,0.088380608,0.249523281,-0.08881654,0.014539876,89,-6.108480032,2.02E-09,1.959963985,0.028497633,-0.117314173,-0.060318908,We reject the null that there is no difference between the sample means.,"The difference is statistically significant at the <0.05 level. With 95% confidence, the difference in means is between -0.1173 and -0.0603."
Allegany,83,11,0.13253012,25097,4366,0.173965016,0.116367911,0.241215992,-0.041434895,0.037571723,82,-1.10282127,0.273276058,1.959963985,0.073639224,-0.115074119,0.032204329,We fail to reject the null that there is no difference between the sample means.,"The difference is not statistically significant at the 0.2733 level. With 95% confidence, the difference in means is between -0.1151 and 0.0322."
Bronx,2386,493,0.206621961,22794,3884,0.170395718,0.284752777,0.235515137,0.036226243,0.011387515,37,3.181224744,0.001478916,1.959963985,0.022319119,0.013907125,0.058545362,We reject the null that there is no difference between the sample means.,"The difference is statistically significant at the <0.05 level. With 95% confidence, the difference in means is between 0.0139 and 0.0585."
Broome,277,70,0.252707581,24903,4307,0.17295105,0.341704599,0.244257907,0.079756531,0.035261863,262,2.261835432,0.024459097,1.959963985,0.069111982,0.01064455,0.148868513,We reject the null that there is no difference between the sample means.,"The difference is statistically significant at the <0.05 level. With 95% confidence, the difference in means is between 0.0106 and 0.1489."
Cattaraugus,96,8,0.083333333,25084,4369,0.174174773,0.098245614,0.247858222,-0.090841439,0.032144563,94,-2.826028121,0.005718147,1.959963985,0.063002186,-0.153843626,-0.027839253,We reject the null that there is no difference between the sample means.,"The difference is statistically significant at the <0.05 level. With 95% confidence, the difference in means is between -0.1538 and -0.0278."
Cayuga,72,1,0.013888889,25108,4376,0.17428708,0.013888889,0.265395619,-0.160398191,0.01426434,44,-11.24469766,4.64E-18,1.959963985,0.027957593,-0.188355784,-0.132440598,We reject the null that there is no difference between the sample means.,"The difference is statistically significant at the <0.05 level. With 95% confidence, the difference in means is between -0.1884 and -0.1324."
Chautauqua,157,11,0.070063694,25023,4366,0.174479479,0.078392945,0.250940762,-0.104415785,0.022568707,130,-4.626573685,7.51E-06,1.959963985,0.044233852,-0.148649637,-0.060181932,We reject the null that there is no difference between the sample means.,"The difference is statistically significant at the <0.05 level. With 95% confidence, the difference in means is between -0.1486 and -0.0602."
Chemung,114,16,0.140350877,25066,4361,0.173980691,0.139419345,0.240678993,-0.033629814,0.035108098,112,-0.957893365,0.340121178,1.959963985,0.068810607,-0.102440421,0.035180793,We fail to reject the null that there is no difference between the sample means.,"The difference is not statistically significant at the 0.3401 level. With 95% confidence, the difference in means is between -0.1024 and 0.0352."
Chenango,64,15,0.234375,25116,4362,0.173674152,0.309275794,0.242603049,0.060700848,0.069585153,63,0.8723247,0.386323698,1.959963985,0.136384395,-0.075683547,0.197085243,We fail to reject the null that there is no difference between the sample means.,"The difference is not statistically significant at the 0.3863 level. With 95% confidence, the difference in means is between -0.0757 and 0.1971."
Clinton,164,15,0.091463415,25016,4362,0.174368404,0.0958776,0.246865718,-0.08290499,0.024382121,142,-3.400236985,0.000838502,1.959963985,0.047788079,-0.130693069,-0.035116911,We reject the null that there is no difference between the sample means.,"The difference is statistically significant at the <0.05 level. With 95% confidence, the difference in means is between -0.1307 and -0.0351."
